Nombre del producto,Precio
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4020 LENOVO ThinkPad 300E Chromebook 4/32/11.6 Chrome Pantalla Táctil,"$ 325.00 ó S/ 1,218.50"
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1215U LENOVO IdeaPad 3 8|512|15.6,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i3-N305 ASUS Vivobook Go 15 E1504GA-NJ191 8|256|15.6""","$ 310.00 ó S/ 1,162.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-10110U DELL Latitude 3410 4|1TB|14,"$ 499.00 ó S/ 1,871.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3060 6GB W11","$ 1,499.00 ó S/ 5,621.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,290.00 ó S/ 4,837.50"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-54FX 8|256|15.6"" GEFORCE MX550 2GB","$ 660.00 ó S/ 2,475.00"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-586Q 8|512|15.6"" GEFORCE MX550 2GB","$ 680.00 ó S/ 2,550.00"
"LAPTOP Core i5-1240P ASUS Zenbook 14 OLED UX3402ZA-KM233W 8|512|14"" W11","$ 940.00 ó S/ 3,525.00"
"LAPTOP Core i5-12450H LENOVO IdeaPad Gaming 3 15IAH7 8|512|15.6"" GEFORCE RTX 3050 4GB","$ 795.00 ó S/ 2,981.00"
LAPTOP Core i5-12450H LENOVO IdeaPad Slim 3 15IAH8 16/512/15.6,"$ 490.00 ó S/ 1,837.50"
"LAPTOP Core i5-12500H AORUS 15 9MF 8|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,295.00 ó S/ 4,856.00"
"LAPTOP Core i5-12500H ASUS TUF Gaming F15 FX507ZC4-HN005 8|512|15.6"" GEFORCE RTX 3050 4GB","$ 830.00 ó S/ 3,112.50"
LAPTOP Core i5-12500H ASUS Vivobook 16 X1605ZA-MB292 8/512/15.6,"$ 560.00 ó S/ 2,100.00"
"LAPTOP Core i5-12500H GIGABYTE AORUS 15 9KF 8|512|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,480.00 ó S/ 5,550.00"
LAPTOP Core i5-12500H LENOVO V15 G4 IAH 8|512|15.6,"$ 468.00 ó S/ 1,755.00"
"LAPTOP Core i5-1335U HP ProBook 450 16|512|15.6"" W11PRO","$ 1,035.00 ó S/ 3,881.00"
"LAPTOP Core i5-1340P LENOVO Yoga Slim 6 14IRP8 16GB|512|14"" 2K W11","$ 890.00 ó S/ 3,337.50"
"LAPTOP Core i5-13450HX DELL Gaming G15 5530 8|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,160.00 ó S/ 4,350.00"
"LAPTOP Core i5-1135G7 ASUS ExpertBook B1 B1500CEAE-EJ2619X 8|512|15.6, W11PRO","$ 530.00 ó S/ 1,987.50"
LAPTOP Core i5-1135G7 LENOVO Thinkpad X1 Carbon G9 16|512|14 W11PRO,"$ 2,350.00 ó S/ 8,812.50"
"LAPTOP Core i5-1135G7 LENOVO ThinkPad X1 Yoga G6 DUO 16|512|14"" W11PRO Pantalla táctil","$ 2,499.00 ó S/ 9,371.00"
LAPTOP Core i5-1335U LENOVO Thinkpad E16 G1 16|512|16 W11PRO,"$ 1,430.00 ó S/ 5,362.50"
LAPTOP Core i5-1335U LENOVO Thinkpad L14 G4 16|512|14 W11PRO,"$ 1,560.00 ó S/ 5,850.00"
"LAPTOP Core i5-12500H GIGABYTE AORUS 17 9SF 16|512|17.3"" GEFORCE RTX 4070 8GB W11","$ 1,670.00 ó S/ 6,262.50"
"LAPTOP Core i7-1255U DELL Inspiron 15 3520 8|51215.6, W11","$ 685.00 ó S/ 2,568.50"
LAPTOP Core i7-12700H ASUS ROG Zephyrus M16GU603ZE 16/512/16/3050Ti W11,"$ 1,690.00 ó S/ 6,337.50"
"LAPTOP Core i7-12700H ASUS TUF Gaming F15 FX507ZC4-HN002 16|512|15.6"" GEFORCE RTX3050 4GB","$ 1,145.00 ó S/ 4,293.50"
"LAPTOP Core i7-12700H ASUS Zenbook Pro 14 Duo OLED 16GB|S1TB|14.5"" W11","$ 1,820.00 ó S/ 6,825.00"
"LAPTOP Core i7-12700H GIGABYTE AERO 16 XE5 16|S1TB|16"" GEFORCE RTX 3070 Ti 8GB W11PRO","$ 2,990.00 ó S/ 11,212.50"
"LAPTOP Core i7-12700H GIGABYTE AERO 17 KE5 16|S1TB|17.3"" GEFORCE RTX 3060P 6GB W11","$ 2,260.00 ó S/ 8,475.00"
"LAPTOP Core i7-12700H GIGABYTE AERO 5 KE4 16|S1TB|15.6"" 4K-OLED GEFORCE RTX 3060P 6GB W11","$ 1,870.00 ó S/ 7,012.50"
"LAPTOP Core i7-12700H GIGABYTE AORUS 15 XE4 16|S1TB|15.6"" 2K GEFORCE RTX 3070 Ti  8GB W11","$ 2,399.00 ó S/ 8,996.00"
"LAPTOP Core i7-12700H GIGABYTE AORUS 5 SE4 16|512|15.6"" GEFORCE RTX 3070P 8GB W11","$ 1,760.00 ó S/ 6,600.00"
LAPTOP Core i7-13620H LENOVO IdeaPad Slim 5 16IRL8 16|512|16,"$ 705.00 ó S/ 2,643.50"
LAPTOP Core i7-13620H LENOVO LOQ 15IRH8 Gaming 16|512|15.6 GEFORCE RTX4050,"$ 1,215.00 ó S/ 4,556.00"
"LAPTOP Core i7-13650HX DELL Gaming G15 5530 16|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,620.00 ó S/ 6,075.00"
"LAPTOP Core i7-13700H GIGABYTE AERO 14 OLED BMF 16|S1TB|14"" 2.8K GEFORCE RTX 4050 6GB W11","$ 2,099.00 ó S/ 7,871.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 15 BKF 16|S1TB|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,899.00 ó S/ 7,121.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 15 BKF 8|512|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,840.00 ó S/ 6,900.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17 BKF 16GB|S1TB|17.3"" GEFORCE RTX 4060 8GB W11","$ 1,650.00 ó S/ 6,187.50"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17 BSF 16GB|S1TB|17.3"" GEFORCE RTX 4070 8GB W11","$ 1,905.00 ó S/ 7,143.50"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17H BXF 16GB/S2TB/17.3"" GEFORCE RTX 4080 12GB W11","$ 2,540.00 ó S/ 9,525.00"
"LAPTOP Core i7-13700H GIGABYTE AORUS 17H BXF 16GB/S1TB/17.3"" GEFORCE RTX 4080 12GB","$ 2,350.00 ó S/ 8,812.50"
"LAPTOP Core i7-13700H MSI Creator M16 B13VE 16|S1TB|16"" GEFORCE RTX 4050 6GB W11PRO","$ 1,855.00 ó S/ 6,956.00"
"LAPTOP Core i7-13700H MSI Pulse 15 B13VGK 16|S1TB|15.6"" GEFORCE RTX 4070 8GB W11","$ 2,290.00 ó S/ 8,587.50"
"LAPTOP Core i7-13700H MSI Stealth 17 Studio A13VG 16|S1TB/17.3"" 2K GEFORCE RTX 4070 8GB W11","$ 2,640.00 ó S/ 9,900.00"
"LAPTOP Core i7-13700HX DELL Alienware M16 R1 16|S1TB|16"" GEFORCE RTX 4070 8GB W11","$ 3,099.00 ó S/ 11,621.00"
"LAPTOP Core i7-13700HX MSI Creator Z17 HX Studio A13V 32|S1TB|17"" 2K GEFORCE RTX 4070 8GB W11PRO Pantalla Táctil","$ 3,155.00 ó S/ 11,831.00"
"LAPTOP Ryzen 5 5600H ASUS Vivobook Pro14 OLED 8|512|14"" 2.8K GEFORCE RTX 3050 4GB W11","$ 865.00 ó S/ 3,243.50"
LAPTOP Core i7-1255U HP 250 G9 8GB|512|15.6,"$ 655.00 ó S/ 2,456.00"
LAPTOP Core i7-1255U LENOVO V15 G3 IAP 16|512|15,"$ 650.00 ó S/ 2,437.50"
"LAPTOP Core i7-1355U DELL Latitude 7440 Hybrid DUO 16|512|14"" W11PRO Pantalla Táctil","$ 1,895.00 ó S/ 7,106.00"
"LAPTOP Core i7-1355U HP 250 G10 8|512|15.6""","$ 715.00 ó S/ 2,681.00"
"LAPTOP Core i7-1355U HP Elite Dragonfly G4 DUO 16|S1TB|13.5"" W11PRO Pantalla Táctil","$ 2,530.00 ó S/ 9,487.50"
"LAPTOP Core i7-1355U HP Elite x360 1040 G10 DUO 16|S1TB|14"" W11PRO Pantalla Táctil","$ 2,370.00 ó S/ 8,887.50"
"LAPTOP WS Core i7-13700H DELL Precision 5680 16|S1TB|16"" QUADRO RTX A1000 6GB W11PRO","$ 3,360.00 ó S/ 12,600.00"
"LAPTOP WS Core i7-13700H MSI CreatorPro M16 B13VJ 32|S1TB|16"" QUADRO RTX 2000 8GB W11PRO","$ 2,330.00 ó S/ 8,737.50"
"LAPTOP WS Core i7-13700H MSI CreatorPro M16 B13VK 32|S2TB|16"" QUADRO RTX 3000 8GB W11PRO","$ 2,950.00 ó S/ 11,062.50"
"LAPTOP WS Core i7-13700HX HP ZBook Fury G10 32|S2TB/16"" QUADRO RTX A2000 8GB W11PRO","$ 2,910.00 ó S/ 10,912.50"
"LAPTOP WS Core i7-13700HX LENOVO ThinkPad P16 G2 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 3,425.00 ó S/ 12,843.50"
"LAPTOP Core i9-13900H ASUS Vivobook 16 X1605VA-MB195 16GB|S1TB|16""","$ 920.00 ó S/ 3,450.00"
"LAPTOP WS Core i9-12900HX LENOVO ThinkPad P16 G1 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 4,140.00 ó S/ 15,525.00"
"LAPTOP WS Core i9-13900H HP ZBook Power G10 16|S1TB/15.6"" QUADRO RTX A2000 8GB W11PRO","$ 3,160.00 ó S/ 11,850.00"
"LAPTOP WS Core i9-13950HX MSI CreatorPro Z16 HX Studio B13VKTO 64|S2TB|16"" QUADRO RTX 3000 8GB W11PRO Pantalla Táctil","$ 4,000.00 ó S/ 15,000.00"
"LAPTOP WS Core i9-13950HX MSI CreatorPro Z17 HX Studio A13VKT 64|S2TB|17"" QUADRO RTX 3000 8GB W11PRO Pantalla Tactil","$ 4,250.00 ó S/ 15,937.50"
"LAPTOP WS Core i9-13980HX LENOVO ThinkPad P16 G2 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 4,140.00 ó S/ 15,525.00"
"LAPTOP Ryzen 5 4600H HP Pavilion 15-ec1037la 16|512|15.6"" GEFORCE GTX 1650 Ti 4GB W11","$ 815.00 ó S/ 3,056.00"
"LAPTOP Ryzen 5 4600H HP Pavilion 15-ec1037la 8|512|15.6"" GEFORCE GTX 1650 Ti 4GB W11","$ 790.00 ó S/ 2,962.50"
LAPTOP Ryzen 5 5500U HP 15-ef2511la 8|256|15.6 W11,"$ 485.00 ó S/ 1,818.50"
"LAPTOP Ryzen 5 5500U LENOVO IdeaPad 5 15ALC05 8GB|256|15.6""","$ 410.00 ó S/ 1,537.50"
"LAPTOP Ryzen 5 5600H DELL Gaming G15 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,145.00 ó S/ 4,293.50"
"LAPTOP Ryzen 5 5600H DELL Gaming G15 8|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,120.00 ó S/ 4,200.00"
"LAPTOP Ryzen 5 7520U ASUS Vivobook Go 15 E1504FA-NJ022 8GB|512|15.6""","$ 430.00 ó S/ 1,612.50"
"LAPTOP Ryzen 7 7840HS DELL Gaming G15 5535 16|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,475.00 ó S/ 5,531.00"
"LAPTOP Ryzen 5 7520U LENOVO V15 G4 AMN 8|256|15.6""","$ 399.00 ó S/ 1,496.00"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|1TB|14""","$ 550.00 ó S/ 2,062.50"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|256|14""","$ 590.00 ó S/ 2,212.50"
"LAPTOP Ryzen 9 6900HS ASUS ROG Zephyrus G15 GA503RM-LN118W 16|512|15.6"" 2K GEFORCE RTX 3060 6GB W11","$ 2,180.00 ó S/ 8,175.00"
"LAPTOP Ryzen 9 6900HX ASUS ROG Strix G17 G713RM-LL046W 16|S1TB|17.3"" 2K GEFORCE RTX 3060 6GB W11","$ 2,285.00 ó S/ 8,568.50"
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4020 LENOVO ThinkPad 300E Chromebook 4/32/11.6 Chrome Pantalla Táctil,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i7-1355U HP Elite Dragonfly G4 DUO 16|S1TB|13.5"" W11PRO Pantalla Táctil","$ 2,530.00 ó S/ 9,487.50"
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-10110U DELL Latitude 3410 4|1TB|14,"$ 499.00 ó S/ 1,871.00"
LAPTOP Core i5-1135G7 LENOVO Thinkpad X1 Carbon G9 16|512|14 W11PRO,"$ 2,350.00 ó S/ 8,812.50"
"LAPTOP Core i5-1135G7 LENOVO ThinkPad X1 Yoga G6 DUO 16|512|14"" W11PRO Pantalla táctil","$ 2,499.00 ó S/ 9,371.00"
"LAPTOP Core i5-1240P ASUS Zenbook 14 OLED UX3402ZA-KM233W 8|512|14"" W11","$ 940.00 ó S/ 3,525.00"
LAPTOP Core i5-1335U LENOVO Thinkpad L14 G4 16|512|14 W11PRO,"$ 1,560.00 ó S/ 5,850.00"
"LAPTOP Core i5-1340P LENOVO Yoga Slim 6 14IRP8 16GB|512|14"" 2K W11","$ 890.00 ó S/ 3,337.50"
"LAPTOP Core i7-12700H ASUS Zenbook Pro 14 Duo OLED 16GB|S1TB|14.5"" W11","$ 1,820.00 ó S/ 6,825.00"
"LAPTOP Core i7-1355U DELL Latitude 7440 Hybrid DUO 16|512|14"" W11PRO Pantalla Táctil","$ 1,895.00 ó S/ 7,106.00"
"LAPTOP Core i7-1355U HP Elite x360 1040 G10 DUO 16|S1TB|14"" W11PRO Pantalla Táctil","$ 2,370.00 ó S/ 8,887.50"
"LAPTOP Core i7-13700H GIGABYTE AERO 14 OLED BMF 16|S1TB|14"" 2.8K GEFORCE RTX 4050 6GB W11","$ 2,099.00 ó S/ 7,871.00"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|1TB|14""","$ 550.00 ó S/ 2,062.50"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|256|14""","$ 590.00 ó S/ 2,212.50"
LAPTOP Core i3-1215U LENOVO IdeaPad 3 8|512|15.6,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i3-N305 ASUS Vivobook Go 15 E1504GA-NJ191 8|256|15.6""","$ 310.00 ó S/ 1,162.50"
"LAPTOP Core i5-1135G7 ASUS ExpertBook B1 B1500CEAE-EJ2619X 8|512|15.6, W11PRO","$ 530.00 ó S/ 1,987.50"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3060 6GB W11","$ 1,499.00 ó S/ 5,621.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,290.00 ó S/ 4,837.50"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-54FX 8|256|15.6"" GEFORCE MX550 2GB","$ 660.00 ó S/ 2,475.00"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-586Q 8|512|15.6"" GEFORCE MX550 2GB","$ 680.00 ó S/ 2,550.00"
"LAPTOP Core i5-12450H LENOVO IdeaPad Gaming 3 15IAH7 8|512|15.6"" GEFORCE RTX 3050 4GB","$ 795.00 ó S/ 2,981.00"
LAPTOP Core i5-12450H LENOVO IdeaPad Slim 3 15IAH8 16/512/15.6,"$ 490.00 ó S/ 1,837.50"
"LAPTOP Core i5-12500H AORUS 15 9MF 8|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,295.00 ó S/ 4,856.00"
"LAPTOP Core i5-12500H ASUS TUF Gaming F15 FX507ZC4-HN005 8|512|15.6"" GEFORCE RTX 3050 4GB","$ 830.00 ó S/ 3,112.50"
"LAPTOP Core i5-12500H GIGABYTE AORUS 15 9KF 8|512|15.6"" GEFORCE RTX 4060 8GB W11","$ 1,480.00 ó S/ 5,550.00"
LAPTOP Core i5-12500H LENOVO V15 G4 IAH 8|512|15.6,"$ 468.00 ó S/ 1,755.00"
